X,Y,Value
4200615.0,4386205.0,-0.4
4200645.0,4386205.0,-0.1
4200675.0,4386205.0,0.4
4200705.0,4386205.0,0.8
4200735.0,4386205.0,1.0
4200765.0,4386205.0,1.2
4200795.0,4386205.0,1.5
4200825.0,4386205.0,2.0
4200855.0,4386205.0,2.3
4200885.0,4386205.0,2.6
4200915.0,4386205.0,3.0
4200945.0,4386205.0,3.5
4200975.0,4386205.0,4.0
4201005.0,4386205.0,4.3
4201035.0,4386205.0,4.3
4201065.0,4386205.0,4.1
4201095.0,4386205.0,4.1
4201125.0,4386205.0,4.0
4201155.0,4386205.0,4.1
4201185.0,4386205.0,4.5
4201215.0,4386205.0,4.5
4201245.0,4386205.0,4.1
4201275.0,4386205.0,3.9
4201305.0,4386205.0,3.9
4201335.0,4386205.0,4.0
4201365.0,4386205.0,4.2
4201395.0,4386205.0,4.7
4201425.0,4386205.0,5.2
4201455.0,4386205.0,5.4
4201485.0,4386205.0,5.0
4201515.0,4386205.0,4.7
4201545.0,4386205.0,4.9
4201575.0,4386205.0,5.9
4201605.0,4386205.0,6.8
4201635.0,4386205.0,6.7
4201665.0,4386205.0,6.3
4201695.0,4386205.0,6.5
4201725.0,4386205.0,7.2
4201755.0,4386205.0,8.4
4201785.0,4386205.0,9.7
4201815.0,4386205.0,10.7
4201845.0,4386205.0,11.4
4201875.0,4386205.0,11.8
4201905.0,4386205.0,12.1
4201935.0,4386205.0,12.6
4201965.0,4386205.0,13.2
4201995.0,4386205.0,13.6
4202025.0,4386205.0,14.1
4202055.0,4386205.0,14.7
4202085.0,4386205.0,15.9
4202115.0,4386205.0,17.8
4202145.0,4386205.0,20.3
4202175.0,4386205.0,22.9
4202205.0,4386205.0,26.6
4202235.0,4386205.0,32.6
4202265.0,4386205.0,43.2
4202295.0,4386205.0,58.3
4202325.0,4386205.0,77.0
4202355.0,4386205.0,99.5
4202385.0,4386205.0,126.6
4202415.0,4386205.0,161.7
4202445.0,4386205.0,198.7
4202475.0,4386205.0,225.7
4202505.0,4386205.0,245.9
4202535.0,4386205.0,271.5
4202565.0,4386205.0,300.1
4202595.0,4386205.0,324.7
4202625.0,4386205.0,347.5
4202655.0,4386205.0,369.3
4202685.0,4386205.0,391.2
4202715.0,4386205.0,414.4
4202745.0,4386205.0,443.2
4202775.0,4386205.0,478.5
4202805.0,4386205.0,513.0
4202835.0,4386205.0,543.5
4202865.0,4386205.0,572.1
4202895.0,4386205.0,596.3
4202925.0,4386205.0,616.7
4202955.0,4386205.0,631.6
4202985.0,4386205.0,643.3
4203015.0,4386205.0,656.0
4203045.0,4386205.0,671.5
4203075.0,4386205.0,684.4
4203105.0,4386205.0,693.1
4203135.0,4386205.0,698.0
4203165.0,4386205.0,699.0
4203195.0,4386205.0,696.5
4203225.0,4386205.0,691.3
4203255.0,4386205.0,684.3
4203285.0,4386205.0,675.7
4203315.0,4386205.0,666.3
4203345.0,4386205.0,655.5
4203375.0,4386205.0,643.9
4203405.0,4386205.0,633.7
4203435.0,4386205.0,625.2
4203465.0,4386205.0,616.7
4203495.0,4386205.0,606.7
4203525.0,4386205.0,596.1
4203555.0,4386205.0,588.5
4203585.0,4386205.0,584.2
4203615.0,4386205.0,581.5
4203645.0,4386205.0,578.7
4203675.0,4386205.0,575.0
4203705.0,4386205.0,570.7
4203735.0,4386205.0,563.6
4203765.0,4386205.0,552.9
4203795.0,4386205.0,540.7
4203825.0,4386205.0,530.5
4203855.0,4386205.0,523.3
4203885.0,4386205.0,518.1
4203915.0,4386205.0,513.6
4203945.0,4386205.0,510.0
4203975.0,4386205.0,507.6
4204005.0,4386205.0,506.0
4204035.0,4386205.0,503.9
4204065.0,4386205.0,500.5
4204095.0,4386205.0,495.7
4204125.0,4386205.0,489.8
4204155.0,4386205.0,483.9
4204185.0,4386205.0,478.5
4204215.0,4386205.0,473.2
4204245.0,4386205.0,467.7
4204275.0,4386205.0,461.0
4204305.0,4386205.0,452.7
4204335.0,4386205.0,444.1
4204365.0,4386205.0,436.1
4204395.0,4386205.0,428.8
4204425.0,4386205.0,422.1
4204455.0,4386205.0,415.5
4204485.0,4386205.0,408.7
4204515.0,4386205.0,401.8
4204545.0,4386205.0,396.0
4204575.0,4386205.0,391.7
4204605.0,4386205.0,388.4
4204635.0,4386205.0,385.5
4204665.0,4386205.0,382.6
4204695.0,4386205.0,379.8
4204725.0,4386205.0,381.1
4204755.0,4386205.0,388.3
4204785.0,4386205.0,395.2
4204815.0,4386205.0,398.6
4204845.0,4386205.0,400.3
4204875.0,4386205.0,402.1
4204905.0,4386205.0,404.3
4204935.0,4386205.0,407.2
4204965.0,4386205.0,410.5
4204995.0,4386205.0,414.7
4205025.0,4386205.0,420.6
4205055.0,4386205.0,428.5
4205085.0,4386205.0,439.5
4205115.0,4386205.0,453.4
4205145.0,4386205.0,467.3
4205175.0,4386205.0,477.9
4205205.0,4386205.0,485.3
4205235.0,4386205.0,491.1
4205265.0,4386205.0,496.2
4205295.0,4386205.0,502.1
4205325.0,4386205.0,511.4
4205355.0,4386205.0,525.1
4205385.0,4386205.0,542.7
4205415.0,4386205.0,557.5
4205445.0,4386205.0,567.9
4205475.0,4386205.0,575.1
4205505.0,4386205.0,578.8
4205535.0,4386205.0,579.8
4205565.0,4386205.0,579.6
4205595.0,4386205.0,578.0
4205625.0,4386205.0,574.2
4205655.0,4386205.0,571.7
4205685.0,4386205.0,571.6
4205715.0,4386205.0,572.8
4205745.0,4386205.0,574.9
4205775.0,4386205.0,578.7
4205805.0,4386205.0,582.1
4205835.0,4386205.0,581.7
4205865.0,4386205.0,578.2
4205895.0,4386205.0,574.6
4205925.0,4386205.0,569.5
4205955.0,4386205.0,563.0
4205985.0,4386205.0,556.4
4206015.0,4386205.0,550.2
4206045.0,4386205.0,545.5
4206075.0,4386205.0,541.7
4206105.0,4386205.0,538.7
4206135.0,4386205.0,533.9
4206165.0,4386205.0,526.9
4206195.0,4386205.0,518.8
4206225.0,4386205.0,509.6
4206255.0,4386205.0,499.1
4206285.0,4386205.0,487.6
4206315.0,4386205.0,475.4
4206345.0,4386205.0,462.7
4206375.0,4386205.0,451.4
4206405.0,4386205.0,443.7
4206435.0,4386205.0,438.5
4206465.0,4386205.0,435.1
4206495.0,4386205.0,434.1
4206525.0,4386205.0,436.4
4206555.0,4386205.0,440.6
4206585.0,4386205.0,446.3
4206615.0,4386205.0,454.2
4206645.0,4386205.0,464.8
4206675.0,4386205.0,476.0
4206705.0,4386205.0,484.8
4206735.0,4386205.0,490.8
4206765.0,4386205.0,494.8
4206795.0,4386205.0,497.4
4206825.0,4386205.0,497.8
4206855.0,4386205.0,495.9
4206885.0,4386205.0,492.7
4206915.0,4386205.0,488.5
4206945.0,4386205.0,483.5
4206975.0,4386205.0,477.9
4207005.0,4386205.0,472.0
4207035.0,4386205.0,466.9
4207065.0,4386205.0,463.2
4207095.0,4386205.0,459.9
4207125.0,4386205.0,455.6
4207155.0,4386205.0,449.5
4207185.0,4386205.0,441.3
4207215.0,4386205.0,430.5
4207245.0,4386205.0,418.6
4207275.0,4386205.0,407.3
4207305.0,4386205.0,396.8
4207335.0,4386205.0,386.0
4207365.0,4386205.0,374.9
4207395.0,4386205.0,364.3
4207425.0,4386205.0,354.7
4207455.0,4386205.0,347.2
